ID	121|sk1-rmv|chr3:200001-210000
0|sk1-rmv|chr1:1-10000	NA
1|sk1-rmv|chr1:10001-20000	62.46834584
2|sk1-rmv|chr1:20001-30000	NA
3|sk1-rmv|chr1:30001-40000	83.87683893
4|sk1-rmv|chr1:40001-50000	62.82127435
5|sk1-rmv|chr1:50001-60000	42.04354711
6|sk1-rmv|chr1:60001-70000	67.65714582
7|sk1-rmv|chr1:70001-80000	70.78844768
8|sk1-rmv|chr1:80001-90000	59.97531894
9|sk1-rmv|chr1:90001-100000	46.00836098
10|sk1-rmv|chr1:100001-110000	58.20316728
11|sk1-rmv|chr1:110001-120000	56.85903531
12|sk1-rmv|chr1:120001-130000	49.26731784
13|sk1-rmv|chr1:130001-140000	28.1441712
14|sk1-rmv|chr1:140001-150000	35.85603455
15|sk1-rmv|chr1:150001-160000	39.91846694
16|sk1-rmv|chr1:160001-170000	48.23105966
17|sk1-rmv|chr1:170001-180000	54.02058901
18|sk1-rmv|chr1:180001-190000	66.41814148
19|sk1-rmv|chr1:190001-200000	NA
20|sk1-rmv|chr1:200001-203893	NA
21|sk1-rmv|chr2:1-10000	NA
22|sk1-rmv|chr2:10001-20000	49.70284663
23|sk1-rmv|chr2:20001-30000	51.50503476
24|sk1-rmv|chr2:30001-40000	54.56124545
25|sk1-rmv|chr2:40001-50000	45.18986721
26|sk1-rmv|chr2:50001-60000	57.42972821
27|sk1-rmv|chr2:60001-70000	46.42887154
28|sk1-rmv|chr2:70001-80000	43.67302553
29|sk1-rmv|chr2:80001-90000	71.14888531
30|sk1-rmv|chr2:90001-100000	73.96480425
31|sk1-rmv|chr2:100001-110000	77.49408932
32|sk1-rmv|chr2:110001-120000	54.92168307
33|sk1-rmv|chr2:120001-130000	43.50031584
34|sk1-rmv|chr2:130001-140000	68.69340399
35|sk1-rmv|chr2:140001-150000	83.4262919
36|sk1-rmv|chr2:150001-160000	57.15939999
37|sk1-rmv|chr2:160001-170000	50.79166862
38|sk1-rmv|chr2:170001-180000	58.01543935
39|sk1-rmv|chr2:180001-190000	57.08430882
40|sk1-rmv|chr2:190001-200000	58.19565817
41|sk1-rmv|chr2:200001-210000	30.38939724
42|sk1-rmv|chr2:210001-220000	54.35849929
43|sk1-rmv|chr2:220001-230000	20.16197964
44|sk1-rmv|chr2:230001-240000	33.91868231
45|sk1-rmv|chr2:240001-250000	35.81848896
46|sk1-rmv|chr2:250001-260000	62.34819997
47|sk1-rmv|chr2:260001-270000	53.29220465
48|sk1-rmv|chr2:270001-280000	46.00836098
49|sk1-rmv|chr2:280001-290000	63.91760546
50|sk1-rmv|chr2:290001-300000	60.12550128
51|sk1-rmv|chr2:300001-310000	53.51747816
52|sk1-rmv|chr2:310001-320000	64.65349894
53|sk1-rmv|chr2:320001-330000	43.65049818
54|sk1-rmv|chr2:330001-340000	45.85066952
55|sk1-rmv|chr2:340001-350000	43.91331728
56|sk1-rmv|chr2:350001-360000	37.24522123
57|sk1-rmv|chr2:360001-370000	35.74339779
58|sk1-rmv|chr2:370001-380000	47.25487443
59|sk1-rmv|chr2:380001-390000	31.66594716
60|sk1-rmv|chr2:390001-400000	40.57926926
61|sk1-rmv|chr2:400001-410000	28.13666208
62|sk1-rmv|chr2:410001-420000	58.83393313
63|sk1-rmv|chr2:420001-430000	34.49688434
64|sk1-rmv|chr2:430001-440000	37.20016652
65|sk1-rmv|chr2:440001-450000	20.39476227
66|sk1-rmv|chr2:450001-460000	26.95773069
67|sk1-rmv|chr2:460001-470000	28.38446295
68|sk1-rmv|chr2:470001-480000	18.51748297
69|sk1-rmv|chr2:480001-490000	28.05406179
70|sk1-rmv|chr2:490001-500000	41.33018097
71|sk1-rmv|chr2:500001-510000	19.14824882
72|sk1-rmv|chr2:510001-520000	24.90774169
73|sk1-rmv|chr2:520001-530000	24.9527964
74|sk1-rmv|chr2:530001-540000	32.94249708
75|sk1-rmv|chr2:540001-550000	32.40934976
76|sk1-rmv|chr2:550001-560000	25.12550609
77|sk1-rmv|chr2:560001-570000	15.33361729
78|sk1-rmv|chr2:570001-580000	19.02059382
79|sk1-rmv|chr2:580001-590000	22.61746095
80|sk1-rmv|chr2:590001-600000	25.40334343
81|sk1-rmv|chr2:600001-610000	13.92190326
82|sk1-rmv|chr2:610001-620000	27.25809537
83|sk1-rmv|chr2:620001-630000	12.37502512
84|sk1-rmv|chr2:630001-640000	10.19738113
85|sk1-rmv|chr2:640001-650000	25.07294227
86|sk1-rmv|chr2:650001-660000	19.11821235
87|sk1-rmv|chr2:660001-670000	14.91310672
88|sk1-rmv|chr2:670001-680000	28.05406179
89|sk1-rmv|chr2:680001-690000	32.296713
90|sk1-rmv|chr2:690001-700000	24.23943027
91|sk1-rmv|chr2:700001-710000	35.27783252
92|sk1-rmv|chr2:710001-720000	34.3917567
93|sk1-rmv|chr2:720001-730000	35.12765018
94|sk1-rmv|chr2:730001-740000	40.78952454
95|sk1-rmv|chr2:740001-750000	37.57562238
96|sk1-rmv|chr2:750001-760000	26.34198308
97|sk1-rmv|chr2:760001-770000	17.75906214
98|sk1-rmv|chr2:770001-780000	25.37330696
99|sk1-rmv|chr2:780001-790000	21.03303723
100|sk1-rmv|chr2:790001-794508	NA
101|sk1-rmv|chr3:1-10000	257.412537
102|sk1-rmv|chr3:10001-20000	315.8334687
103|sk1-rmv|chr3:20001-30000	375.4558591
104|sk1-rmv|chr3:30001-40000	357.058522
105|sk1-rmv|chr3:40001-50000	319.2125714
106|sk1-rmv|chr3:50001-60000	253.7330696
107|sk1-rmv|chr3:60001-70000	265.0718365
108|sk1-rmv|chr3:70001-80000	231.8064474
109|sk1-rmv|chr3:80001-90000	169.8562307
110|sk1-rmv|chr3:90001-100000	130.9590037
111|sk1-rmv|chr3:100001-110000	185.1748297
112|sk1-rmv|chr3:110001-120000	240.366841
113|sk1-rmv|chr3:120001-130000	338.2106379
114|sk1-rmv|chr3:130001-140000	540.8066195
